Date,Origin,Date
1957,Russia,2
1957,USA,1
1958,Russia,5
1958,USA,23
1959,Russia,4
1959,USA,16
1960,Russia,9
1960,USA,30
1961,Russia,9
1961,USA,43
1962,Russia,22
1962,USA,60
1963,Russia,24
1963,USA,17
1964,Russia,36
1964,USA,24
1965,France,1
1965,Russia,53
1965,USA,33
1966,France,1
1966,Japan,2
1966,Russia,51
1966,USA,47
1967,France,2
1967,Japan,1
1967,Russia,75
1967,USA,26
1968,Russia,80
1968,USA,22
1969,China,1
1969,Japan,1
1969,Russia,83
1969,USA,17
1970,China,1
1970,France,2
1970,Japan,2
1970,Russia,88
1970,USA,11
1971,China,1
1971,France,3
1971,Japan,3
1971,Russia,93
1971,USA,16
1972,China,1
1972,Japan,1
1972,Russia,79
1972,USA,17
1973,China,1
1973,France,1
1973,Russia,84
1973,USA,17
1974,China,2
1974,Japan,1
1974,Russia,83
1974,USA,10
1975,China,3
1975,France,3
1975,Japan,2
1975,Russia,89
1975,USA,15
1976,China,3
1976,Japan,2
1976,Russia,95
1976,USA,13
1977,China,1
1977,Japan,2
1977,Russia,97
1977,USA,14
1978,China,2
1978,Japan,3
1978,Russia,71
1978,USA,21
1979,China,1
1979,France,1
1979,Japan,1
1979,Russia,36
1979,USA,9
1980,France,1
1980,Japan,2
1980,Russia,40
1980,USA,11
1981,China,1
1981,France,2
1981,Japan,3
1981,Russia,51
1981,USA,13
1982,China,1
1982,France,1
1982,Japan,1
1982,Russia,53
1982,USA,11
1983,China,1
1983,France,2
1983,Japan,3
1983,Russia,46
1983,USA,13
1984,China,3
1984,France,4
1984,Japan,3
1984,Russia,42
1984,USA,17
1985,China,1
1985,France,4
1985,Japan,2
1985,Russia,51
1985,USA,16
1986,China,2
1986,France,3
1986,Japan,2
1986,Russia,49
1986,USA,6
1987,China,2
1987,France,2
1987,Japan,3
1987,Russia,42
1987,USA,6
1988,China,4
1988,France,7
1988,Japan,2
1988,Russia,36
1988,USA,7
1989,France,7
1989,Japan,2
1989,Russia,26
1989,USA,16
1990,China,5
1990,France,6
1990,Japan,5
1990,Russia,37
1990,USA,26
1991,China,1
1991,France,8
1991,Japan,3
1991,Russia,29
1991,USA,18
1992,China,4
1992,France,7
1992,Japan,1
1992,Russia,23
1992,USA,27
1993,China,1
1993,France,7
1993,Japan,1
1993,Russia,27
1993,USA,24
1994,China,5
1994,France,8
1994,Japan,2
1994,Russia,21
1994,USA,26
1995,China,3
1995,France,11
1995,Japan,2
1995,Russia,14
1995,USA,30
1996,China,4
1996,France,11
1996,Japan,1
1996,Russia,10
1996,USA,33
1997,China,6
1997,France,12
1997,Japan,2
1997,Russia,10
1997,USA,36
1998,China,6
1998,France,11
1998,Japan,2
1998,Russia,11
1998,USA,36
1999,China,4
1999,France,10
1999,Japan,1
1999,Russia,7
1999,USA,33
2000,China,4
2000,France,12
2000,Japan,1
2000,Russia,9
2000,USA,31
2001,China,1
2001,France,8
2001,Japan,1
2001,Russia,7
2001,USA,24
2002,China,5
2002,France,12
2002,Japan,3
2002,Russia,9
2002,USA,18
2003,China,7
2003,France,4
2003,Japan,3
2003,Russia,9
2003,USA,26
2004,China,8
2004,France,3
2004,Russia,8
2004,USA,19
2005,China,5
2005,France,5
2005,Japan,2
2005,Russia,8
2005,USA,16
2006,China,6
2006,France,5
2006,Japan,6
2006,Russia,8
2006,USA,23
2007,China,10
2007,France,6
2007,Japan,2
2007,Russia,8
2007,USA,20
2008,China,9
2008,France,6
2008,Japan,1
2008,Russia,8
2008,USA,20
2009,France,7
2009,Japan,3
2009,Russia,9
2009,USA,26
2010,France,6
2010,Japan,1
2010,Russia,10
2010,USA,15
2011,China,2
2011,France,7
2011,Japan,4
2011,Russia,6
2011,USA,19
2012,China,1
2012,France,10
2012,Japan,2
2012,Russia,1
2012,USA,16
2013,China,2
2013,France,7
2013,Japan,3
2013,Russia,10
2013,USA,20
2014,China,1
2014,France,11
2014,Japan,4
2014,Russia,7
2014,USA,24
2015,China,2
2015,France,12
2015,Japan,4
2015,Russia,5
2015,USA,22
2016,China,22
2016,France,11
2016,Japan,4
2016,Russia,17
2016,USA,27
2017,China,18
2017,France,11
2017,Japan,7
2017,Russia,19
2017,USA,30
2018,China,39
2018,France,11
2018,Japan,6
2018,Russia,17
2018,USA,33
2019,China,33
2019,France,9
2019,Japan,2
2019,Russia,23
2019,USA,24
2020,China,22
2020,France,2
2020,Japan,3
2020,Russia,9
2020,USA,21
